route_type,route_number,start_location,end_location,departure_time,duration,traffic_delay,walk_duration,walk_distance
SHUTTLE,셔틀,청계산입구역,KT판교빌딩,07:40:00,12,3,0,0
SHUTTLE,셔틀,청계산입구역,KT판교빌딩,08:00:00,12,3,0,0
SHUTTLE,셔틀,청계산입구역,KT판교빌딩,08:30:00,15,5,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,07:10:00,15,5,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,07:40:00,15,5,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,08:00:00,20,7,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,08:30:00,20,7,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,08:40:00,20,7,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,09:10:00,20,7,0,0
SHUTTLE,셔틀,판교역,KT판교빌딩,09:40:00,20,7,0,0
BUS,서울07출근,청계산입구역,스마트모빌리티실증허브,07:17:00,20,0,8,500
BUS,서울07출근,청계산입구역,스마트모빌리티실증허브,07:32:00,20,2,8,500
BUS,서울07출근,청계산입구역,스마트모빌리티실증허브,07:47:00,20,2,8,500
BUS,서울07출근,청계산입구역,스마트모빌리티실증허브,08:02:00,20,3,8,500
BUS,55,판교역동편,벤처타운(남문),05:00:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),05:12:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),05:24:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),06:00:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),06:12:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),07:00:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),07:12:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),08:00:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),08:12:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),09:00:00,14,0,6,400
BUS,55,판교역동편,벤처타운(남문),09:12:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),05:00:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),05:10:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),05:20:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),06:00:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),06:10:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),07:00:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),07:10:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),08:00:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),08:10:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),09:00:00,14,0,6,400
BUS,310,판교역동편,벤처타운(남문),09:10:00,14,0,6,400
